,possession_number,home,starttime,endtime,is_quality,notes
0,1,True,1835,1862,True,
1,2,False,1918,1952,True,
2,3,True,2027,2068,True,
3,4,False,2083,2093,False,
4,5,True,2097,2122,True,
5,6,False,2184,2248,True,
6,7,True,2307,2329,True,
7,8,False,2389,2424,True,
8,9,True,2427,2451,False,
9,10,False,2508,2539,False,
10,11,True,2600,2637,False,
11,12,False,2730,2794,False,
12,13,True,2874,2891,False,
13,14,False,2947,2963,False,
14,15,True,2963,3080,False,
15,16,False,3094,3135,False,
16,17,True,3259,3325,True,
17,18,False,3385,3401,True,
18,19,True,3469,3460,True,
